left;1458047984869;4;3;16;2;3;3;2;344004;
right;1458047984872;7;5;14;1;2;1;1;348178;
left;1458047984876;4;3;16;2;3;3;2;344014;
right;1458047984879;7;5;14;1;1;1;1;348188;
right;1458047984886;7;6;14;1;1;1;1;348198;
left;1458047984893;4;4;16;2;3;3;2;344024;
left;1458047984899;5;4;16;2;3;3;2;344034;
right;1458047984903;7;5;14;1;1;1;1;348208;
left;1458047984905;4;4;16;2;3;3;2;344044;
right;1458047984909;7;5;14;1;1;1;1;348218;
right;1458047984918;7;5;14;1;1;1;1;348228;
left;1458047984920;4;4;16;2;3;3;2;344054;
left;1458047984927;4;4;16;2;4;3;2;344064;
right;1458047984931;7;5;14;1;1;1;1;348238;
left;1458047984935;5;3;16;2;3;3;2;344074;
right;1458047984939;7;5;14;1;1;1;1;348248;
right;1458047984946;7;5;14;1;1;1;1;348258;
left;1458047984950;4;4;16;2;3;3;2;344084;
right;1458047984962;7;5;14;1;2;1;1;348268;
left;1458047984966;4;4;16;2;3;3;1;344094;
left;1458047984967;5;3;16;2;3;3;2;344104;
right;1458047984969;7;5;14;1;1;1;1;348278;
right;1458047984976;7;6;14;1;1;1;1;348288;
left;1458047984981;4;3;16;2;3;3;2;344114;
left;1458047984988;5;3;16;2;3;4;2;344124;
right;1458047984991;7;5;14;1;1;1;1;348298;
left;1458047984997;5;4;16;2;3;3;2;344134;
right;1458047984999;7;5;14;1;1;1;1;348308;
right;1458047985007;7;5;14;1;1;1;1;348318;
left;1458047985010;5;4;16;2;3;3;2;344144;
left;1458047985019;5;4;16;2;3;3;2;344154;
right;1458047985021;7;6;14;1;1;1;1;348328;
left;1458047985025;5;3;15;2;3;3;2;344164;
right;1458047985031;7;6;14;1;1;2;1;348338;
right;1458047985037;8;6;14;1;1;1;1;348348;
left;1458047985041;5;3;15;2;3;3;2;344174;
left;1458047985048;5;3;15;2;3;3;2;344184;
right;1458047985054;8;6;15;1;1;1;1;348358;
left;1458047985058;4;4;15;2;3;3;1;344194;
right;1458047985059;8;6;15;1;1;1;1;348368;
right;1458047985068;9;6;15;1;1;1;1;348378;
left;1458047985071;5;4;15;2;3;3;1;344204;
left;1458047985080;5;4;15;2;3;3;1;344214;
right;1458047985082;8;6;15;1;1;1;1;348388;
left;1458047985091;5;4;15;1;3;3;1;344224;
left;1458047985100;5;4;14;1;3;3;1;344234;
right;1458047985103;8;6;15;1;1;1;1;348398;
right;1458047985105;8;7;16;1;1;1;1;348408;
left;1458047985109;5;4;14;1;3;2;1;344244;
right;1458047985114;9;7;16;1;1;1;1;348418;
left;1458047985116;5;4;14;1;3;2;1;344254;
right;1458047985119;9;7;16;1;2;1;1;348428;
right;1458047985127;9;7;16;1;1;1;1;348438;
left;1458047985132;6;4;14;1;2;2;1;344264;
left;1458047985138;6;4;13;1;2;2;1;344274;
