seconds,bpm,nd
0.000,149.500,12.000
0.250,149.750,11.500
0.500,149.750,11.500
0.750,150.000,11.500
1.000,150.000,11.500
1.250,150.250,11.500
1.500,150.250,11.500
1.750,149.500,11.000
2.000,149.500,11.500
2.250,149.500,11.500
2.500,149.500,11.500
2.750,149.500,11.500
3.000,149.500,12.000
3.250,149.500,12.000
3.500,149.500,12.000
3.750,149.500,11.500
4.000,149.000,12.000
4.250,148.500,12.000
4.500,148.500,12.000
4.750,148.000,12.500
5.000,147.250,12.500
5.250,147.250,12.500
5.500,147.500,12.500
5.750,147.500,12.500
6.000,147.500,12.500
6.250,147.500,12.500
6.500,147.500,13.000
6.750,147.250,13.000
7.000,147.250,13.000
7.250,147.250,13.000
7.500,147.250,13.000
7.750,147.250,13.000
8.000,147.250,13.500
8.250,147.250,13.500
8.500,147.250,13.500
8.750,147.250,13.500
9.000,147.250,13.500
9.250,147.250,13.000
9.500,147.500,13.500
9.750,147.500,13.500
10.000,147.500,13.000
10.250,147.500,13.000
10.500,147.500,13.000
10.750,147.500,13.000
11.000,147.500,13.000
11.250,147.750,13.000
11.500,147.750,13.000
11.750,147.750,13.000
12.000,147.000,13.500
12.250,147.000,13.500
12.500,147.000,13.500
12.750,147.000,13.500
13.000,147.000,13.500
13.250,147.500,13.500
13.500,147.500,13.500
13.750,148.000,13.500
14.000,148.000,13.000
14.250,148.000,13.500
14.500,148.500,13.500
14.750,148.750,13.500
15.000,148.750,13.500
15.250,149.250,13.500
15.500,149.250,13.500
15.750,150.000,14.000
16.000,150.750,14.500
16.250,150.750,14.000
16.500,151.000,13.500
16.750,151.250,14.500
17.000,151.250,14.000
17.250,151.000,14.000
17.500,151.000,14.500
17.750,150.750,14.500
18.000,150.500,14.500
18.250,150.500,14.000
18.500,150.250,14.000
18.750,150.250,14.000
19.000,150.250,14.000
19.250,150.000,14.000
19.500,150.000,14.000
19.750,150.000,14.000
20.000,149.750,14.000
20.250,149.750,14.000
20.500,149.500,13.500
20.750,149.500,13.500
21.000,149.500,14.000
21.250,149.750,14.000
21.500,149.750,14.000
21.750,149.750,14.500
22.000,149.750,14.500
22.250,149.750,14.000
22.500,149.750,14.500
22.750,149.750,14.000
23.000,149.750,14.000
23.250,149.750,14.500
23.500,150.000,14.000
23.750,150.000,14.000
24.000,150.000,14.500
24.250,150.000,14.000
24.500,149.750,14.000
24.750,149.000,14.500
25.000,149.000,14.000
25.250,148.500,14.000
25.500,148.500,14.000
25.750,148.750,14.000
26.000,149.000,14.000
26.250,149.000,14.500
26.500,148.250,14.500
26.750,147.500,14.500
27.000,147.500,15.000
27.250,147.500,15.000
27.500,147.500,14.500
27.750,147.500,14.500
28.000,147.500,14.500
28.250,147.500,14.500
28.500,147.500,14.500
28.750,147.500,15.000
29.000,147.500,14.500
29.250,147.500,14.000
29.500,147.500,14.500
29.750,147.500,14.500
30.000,147.750,14.500
30.250,147.750,15.000
30.500,148.500,15.000
30.750,148.500,15.000
31.000,149.000,15.000
31.250,149.500,15.000
31.500,149.500,15.000
31.750,150.000,15.000
32.000,150.000,15.000
32.250,150.000,14.500
32.500,150.000,14.500
32.750,150.000,14.500
33.000,150.000,14.500
33.250,149.500,14.500
33.500,149.500,14.500
33.750,149.250,14.500
34.000,149.250,14.500
34.250,149.250,15.000
34.500,148.750,15.000
34.750,148.750,15.000
35.000,148.500,15.500
35.250,148.250,15.000
35.500,148.250,15.500
35.750,148.250,15.500
36.000,148.250,15.500
36.250,148.250,15.500
36.500,147.750,15.500
36.750,147.750,15.500
37.000,147.750,15.500
37.250,148.000,15.500
37.500,148.000,15.500
37.750,148.250,15.500
38.000,148.250,15.500
38.250,148.250,15.500
38.500,148.500,15.500
38.750,148.500,15.500
39.000,148.750,16.000
39.250,149.000,16.000
39.500,149.000,16.000
39.750,149.500,16.500
40.000,149.500,16.000
40.250,149.500,16.000
40.500,149.750,16.500
40.750,149.750,16.000
41.000,150.000,16.000
41.250,150.000,16.500
41.500,150.000,16.000
41.750,150.000,16.000
42.000,150.000,16.000
42.250,150.000,16.000
42.500,149.500,15.500
42.750,149.500,16.000
43.000,149.500,15.500
43.250,149.500,15.500
43.500,149.500,15.500
43.750,149.250,16.000
44.000,149.250,15.500
44.250,149.250,15.500
44.500,149.500,15.500
44.750,149.500,15.500
45.000,149.750,15.500
45.250,150.250,16.000
45.500,150.250,16.000
45.750,150.500,16.000
46.000,150.500,16.500
46.250,150.500,16.500
46.500,150.750,16.000
46.750,150.750,16.000
47.000,150.750,16.000
47.250,150.750,16.000
47.500,150.750,16.000
47.750,150.250,16.000
48.000,150.250,16.000
48.250,149.750,15.500
48.500,149.500,15.500
48.750,149.500,15.500
49.000,149.500,15.000
49.250,149.250,15.500
49.500,149.250,15.500
49.750,149.250,15.500
50.000,149.250,16.000
50.250,148.750,16.000
50.500,148.750,16.000
50.750,148.750,16.000
51.000,149.250,15.500
51.250,149.250,15.500
51.500,149.250,15.500
51.750,149.250,15.500
52.000,149.250,15.500
52.250,149.250,15.500
52.500,149.500,16.000
52.750,149.500,16.000
53.000,149.500,16.000
53.250,149.750,16.500
53.500,149.750,16.500
53.750,149.750,16.000
54.000,149.750,17.000
54.250,149.750,16.500
54.500,149.750,17.000
54.750,149.750,17.500
55.000,150.000,17.500
55.250,150.000,17.000
55.500,150.000,17.000
55.750,150.000,17.000
56.000,150.000,16.500
56.250,149.750,16.500
56.500,149.750,16.000
56.750,149.750,15.000
57.000,150.000,14.500
57.250,150.250,14.000
57.500,150.250,14.000
57.750,149.500,14.000
58.000,149.500,14.000
58.250,149.500,14.500
58.500,149.750,14.500
58.750,149.750,15.000
59.000,149.750,15.000
59.250,149.500,15.000
59.500,149.500,15.000
59.750,149.750,14.500
60.000,149.750,14.500
60.250,149.750,14.500
60.500,149.750,14.500
60.750,149.750,14.000
61.000,149.750,14.000
61.250,150.250,14.500
61.500,150.250,15.000
61.750,150.750,15.000
62.000,150.750,14.500
62.250,151.500,14.500
62.500,152.000,14.500
62.750,152.000,16.000
63.000,152.000,16.500
63.250,152.500,19.000
63.500,152.500,22.500
63.750,153.250,22.000
64.000,153.500,21.000
64.250,153.500,20.000
64.500,154.000,20.500
64.750,154.500,21.000
65.000,154.500,22.000
65.250,155.750,21.500
65.500,155.750,21.500
65.750,155.750,21.500
66.000,155.750,21.000
66.250,157.500,20.000
66.500,157.500,20.000
66.750,157.500,19.000
67.000,157.500,19.000
67.250,158.000,19.500
67.500,158.250,19.000
67.750,158.250,18.500
68.000,158.500,18.500
68.250,158.500,18.500
68.500,159.000,18.500
68.750,158.500,19.500
69.000,158.000,19.500
69.250,158.000,19.000
69.500,158.500,18.500
69.750,158.500,18.000
70.000,158.250,17.500
70.250,158.250,17.500
70.500,155.500,18.500
70.750,155.500,18.500
71.000,153.750,18.000
71.250,152.750,18.500
71.500,152.750,18.000
71.750,145.250,18.000
72.000,145.250,18.500
72.250,135.000,18.500
72.500,135.000,18.500
72.750,131.250,18.500
73.000,130.000,18.500
73.250,130.000,18.500
73.500,127.250,18.500
73.750,127.250,19.000
74.000,126.500,19.500
74.250,126.500,19.500
74.500,129.000,20.000
74.750,129.000,19.500
75.000,131.000,20.000
75.250,131.000,20.500
75.500,132.250,20.000
75.750,132.250,20.500
76.000,132.500,20.500
76.250,132.500,21.000
76.500,132.500,21.000
76.750,133.000,20.500
77.000,133.000,20.500
77.250,133.750,21.000
77.500,133.750,21.000
77.750,137.250,21.000
78.000,140.750,21.000
78.250,140.750,21.000
78.500,144.500,21.500
78.750,144.500,21.500
79.000,144.750,22.000
79.250,144.750,22.000
79.500,147.000,22.000
79.750,148.750,22.500
80.000,148.750,22.500
80.250,149.750,23.500
80.500,150.500,22.500
80.750,150.500,23.000
81.000,151.250,24.000
81.250,151.250,24.000
81.500,151.500,23.000
81.750,151.500,22.500
82.000,147.000,23.000
82.250,147.000,23.000
82.500,144.000,23.000
82.750,144.000,22.500
83.000,142.250,22.000
83.250,142.250,22.000
83.500,139.500,22.500
83.750,137.500,21.000
84.000,137.500,20.000
84.250,137.500,20.500
84.500,137.500,21.000
84.750,134.750,22.000
85.000,134.750,22.500
85.250,133.500,22.500
85.500,133.500,22.500
85.750,132.750,22.000
86.000,133.000,21.500
86.250,133.000,21.500
86.500,132.250,22.000
86.750,132.250,22.500
87.000,130.750,23.000
87.250,130.750,23.500
87.500,130.250,23.000
87.750,130.250,23.000
88.000,130.250,22.500
88.250,130.250,22.500
88.500,130.250,23.000
88.750,130.250,23.500
89.000,126.250,23.500
89.250,126.250,23.500
89.500,123.750,23.500
89.750,124.000,23.500
90.000,124.000,23.500
90.250,124.500,23.500
90.500,124.500,23.500
90.750,126.000,24.000
91.000,126.000,23.500
91.250,126.750,23.500
91.500,126.750,24.000
91.750,129.000,25.000
92.000,129.000,25.500
92.250,132.000,25.000
92.500,132.000,25.000
92.750,134.500,24.000
93.000,134.500,23.500
93.250,136.250,23.500
93.500,136.250,23.500
93.750,137.000,23.500
94.000,135.500,23.500
94.250,135.500,23.000
94.500,130.000,23.000
94.750,130.000,22.000
95.000,124.500,22.000
95.250,124.500,21.500
95.500,122.250,21.500
95.750,122.250,21.500
96.000,122.750,21.500
96.250,122.750,21.000
96.500,123.000,21.500
96.750,123.000,21.500
97.000,123.750,21.000
97.250,123.750,21.000
97.500,124.000,21.000
97.750,124.000,20.500
98.000,124.000,21.000
98.250,124.000,22.000
98.500,124.250,22.000
98.750,124.250,22.000
99.000,125.750,22.000
99.250,125.750,21.500
99.500,125.250,22.000
99.750,125.250,22.000
100.000,123.750,22.000
100.250,123.750,22.000
100.500,123.750,22.000
100.750,118.500,21.500
101.000,118.500,21.500
101.250,118.500,21.500
101.500,118.500,21.000
101.750,118.500,21.500
102.000,118.250,23.000
102.250,118.250,24.000
102.500,115.750,22.000
102.750,115.750,21.000
103.000,110.000,20.500
103.250,110.000,19.500
103.500,110.000,19.000
103.750,112.750,18.500
104.000,112.750,17.500
104.250,114.750,16.000
104.500,114.750,15.000
104.750,115.750,14.500
105.000,115.750,14.500
105.250,116.750,14.500
105.500,116.750,14.500
105.750,117.250,14.000
106.000,117.250,14.000
106.250,117.750,14.000
106.500,117.750,13.500
106.750,118.500,14.000
107.000,118.500,15.000
107.250,119.750,15.500
107.500,119.750,15.500
107.750,121.000,15.500
108.000,121.000,16.000
108.250,122.250,16.500
108.500,122.250,17.000
108.750,123.750,17.000
109.000,125.250,17.000
109.250,125.250,17.000
109.500,125.750,17.500
109.750,125.750,18.000
110.000,125.750,18.000
110.250,125.750,17.500
110.500,123.500,17.000
110.750,123.500,17.000
111.000,121.750,17.500
111.250,121.750,17.000
111.500,113.750,16.000
