'seconds','uV','uV','uV','uV','uV',''
0.000,28.700,-8.900,13.300,22.000,32.500,0.688
0.001,26.600,-14.000,12.600,21.700,35.301,0.688
0.002,24.700,-18.800,12.000,21.200,37.501,0.688
0.003,23.700,-23.500,11.400,20.200,38.901,0.688
0.004,23.500,-28.000,10.400,18.500,39.401,0.688
0.005,23.600,-32.901,8.600,15.900,39.201,0.688
0.006,23.600,-38.201,6.000,12.600,38.701,0.688
0.007,23.600,-43.901,2.800,8.900,38.101,0.688
0.008,23.700,-49.401,-0.400,5.300,37.401,0.688
0.009,24.300,-54.101,-3.300,2.200,36.501,0.688
0.010,25.300,-57.601,-5.400,-0.100,35.201,0.578
0.011,26.400,-59.601,-6.500,-1.700,33.401,0.578
0.012,27.300,-60.501,-6.800,-2.600,31.500,0.578
0.013,27.800,-60.601,-6.300,-3.000,29.900,0.578
0.014,28.200,-60.401,-5.600,-2.800,29.000,0.578
0.015,28.500,-59.801,-4.800,-2.000,29.000,0.578
0.016,28.800,-59.001,-4.300,-0.800,29.500,0.578
0.017,28.800,-57.701,-4.100,0.600,30.000,0.578
0.018,28.400,-55.801,-3.900,1.500,29.600,0.578
0.019,27.700,-53.101,-3.700,1.400,27.700,0.578
0.020,27.500,-49.501,-3.400,0.100,24.000,0.668
0.021,28.300,-45.001,-3.100,-2.200,18.700,0.668
0.022,30.300,-39.701,-3.200,-4.800,12.500,0.668
0.023,32.801,-33.801,-3.900,-7.000,6.100,0.668
0.024,34.601,-27.900,-5.100,-8.500,0.000,0.668
0.025,34.901,-22.300,-6.500,-9.400,-5.000,0.668
0.026,33.801,-17.300,-7.800,-10.000,-8.800,0.668
0.027,32.100,-13.000,-8.500,-10.700,-11.300,0.668
0.028,31.400,-9.500,-8.900,-11.400,-12.800,0.668
0.029,32.700,-6.700,-8.900,-12.000,-13.500,0.668
0.030,35.801,-4.600,-8.700,-12.300,-13.700,0.680
0.031,39.801,-2.800,-8.600,-12.000,-13.600,0.680
0.032,43.201,-1.200,-8.500,-11.400,-13.600,0.680
0.033,45.001,0.600,-8.400,-10.700,-14.000,0.680
0.034,45.301,2.600,-8.400,-10.400,-14.900,0.680
0.035,44.901,4.500,-8.700,-10.600,-16.400,0.680
0.036,44.701,5.900,-9.700,-11.500,-18.600,0.680
0.037,45.201,6.300,-11.500,-12.900,-21.000,0.680
0.038,46.101,5.600,-13.700,-14.400,-23.400,0.680
0.039,46.501,4.200,-15.900,-15.600,-25.100,0.680
0.040,45.901,2.600,-17.500,-16.100,-26.000,0.719
0.041,44.701,1.700,-18.100,-15.600,-25.900,0.719
0.042,43.801,1.900,-17.900,-14.200,-25.100,0.719
0.043,44.101,2.800,-17.100,-12.300,-24.300,0.719
0.044,46.101,4.000,-16.300,-10.400,-23.700,0.719
0.045,48.801,4.600,-15.900,-9.000,-23.400,0.719
0.046,50.601,4.400,-15.800,-8.400,-23.300,0.719
0.047,50.001,3.400,-15.800,-8.400,-22.900,0.719
0.048,46.801,2.200,-15.800,-8.700,-22.000,0.719
0.049,42.201,1.300,-15.600,-8.900,-20.700,0.719
0.050,38.401,0.900,-15.200,-8.700,-19.100,0.579
0.051,37.001,1.000,-14.700,-8.100,-17.400,0.579
0.052,38.301,1.200,-14.300,-7.200,-15.900,0.579
0.053,41.301,1.200,-13.800,-6.000,-14.400,0.579
