seconds,mV,mV,mV
0.000,0.143,0.429,0.714
0.008,0.143,0.143,0.143
0.016,0.143,0.143,0.143
0.023,0.143,0.143,0.143
0.031,0.143,0.143,0.143
0.039,0.143,0.143,0.143
0.047,0.143,0.143,0.143
0.055,0.143,0.143,0.143
0.062,0.143,0.143,0.143
0.070,0.143,0.143,0.143
0.078,0.143,0.143,0.143
0.086,0.143,0.143,0.143
0.094,0.143,0.143,0.143
0.102,0.143,0.143,0.143
0.109,0.143,0.143,0.143
0.117,0.143,0.143,0.143
0.125,0.143,0.143,0.143
0.133,0.143,0.143,0.143
0.141,0.143,0.143,0.143
0.148,0.143,0.143,0.143
0.156,0.143,0.143,0.143
0.164,0.143,0.143,0.143
0.172,0.143,0.143,0.143
0.180,0.143,0.143,0.143
0.188,0.143,0.143,0.143
0.195,0.143,0.143,0.143
0.203,0.143,0.143,0.143
0.211,0.143,0.143,0.143
0.219,0.143,0.143,0.143
0.227,0.143,0.143,0.143
0.234,0.143,0.143,0.143
0.242,0.143,0.143,0.143
0.250,0.143,0.143,0.143
0.258,0.143,0.143,0.143
0.266,0.143,0.143,0.143
0.273,0.143,0.143,0.143
0.281,0.143,0.143,0.143
0.289,0.143,0.143,0.143
0.297,0.143,0.143,0.143
0.305,0.143,0.143,0.143
0.312,0.143,0.143,0.143
0.320,0.143,0.143,0.143
0.328,0.143,0.143,0.143
0.336,0.143,0.143,0.143
0.344,0.143,0.143,0.143
0.352,0.143,0.143,0.143
0.359,0.143,0.143,0.143
0.367,0.143,0.143,0.143
0.375,0.143,0.143,0.143
0.383,0.143,0.143,0.143
0.391,0.143,0.143,0.143
0.398,0.143,0.143,0.143
0.406,0.143,0.143,0.143
0.414,0.143,0.143,0.143
0.422,0.143,0.143,0.143
0.430,0.143,0.143,0.143
0.438,0.143,0.143,0.143
0.445,0.143,0.143,0.143
0.453,0.143,0.143,0.143
0.461,0.143,0.143,0.143
0.469,0.143,0.143,0.143
0.477,0.143,0.143,0.143
0.484,0.143,0.143,0.143
0.492,0.143,0.143,0.143
0.500,0.143,0.143,0.143
0.508,0.143,0.143,0.143
0.516,0.143,0.143,0.143
0.523,0.143,0.143,0.143
0.531,0.143,0.143,0.143
0.539,0.143,0.143,0.143
0.547,0.143,0.143,0.143
0.555,0.143,0.143,0.143
0.562,0.143,0.143,0.143
0.570,0.143,0.143,0.143
0.578,0.143,0.143,0.143
0.586,0.143,0.143,0.143
0.594,0.143,0.143,0.143
0.602,0.143,0.143,0.143
0.609,0.143,0.143,0.143
0.617,0.143,0.143,0.143
0.625,0.143,0.143,0.143
0.633,0.143,0.143,0.143
0.641,0.143,0.143,0.143
0.648,0.143,0.143,0.143
0.656,0.143,0.143,0.143
0.664,0.143,0.143,0.143
0.672,0.143,0.143,0.143
0.680,0.143,0.143,0.143
0.688,0.143,0.143,0.143
0.695,0.143,0.143,0.143
0.703,0.143,0.143,0.143
0.711,0.143,0.143,0.143
0.719,0.143,0.143,0.143
0.727,0.143,0.143,0.143
0.734,0.143,0.143,0.143
0.742,0.143,0.143,0.143
0.750,0.143,0.143,0.143
0.758,0.143,0.143,0.143
0.766,0.143,0.143,0.143
0.773,0.143,0.143,0.143
0.781,0.143,0.143,0.143
0.789,0.143,0.143,0.143
0.797,0.143,0.143,0.143
0.805,0.143,0.143,0.143
0.812,0.143,0.143,0.143
0.820,0.143,0.143,0.143
0.828,0.143,0.143,0.143
0.836,0.143,0.143,0.143
0.844,0.143,0.143,0.143
0.852,0.143,0.143,0.143
0.859,0.143,0.143,0.143
0.867,0.143,0.143,0.143
0.875,0.143,0.143,0.143
0.883,0.143,0.143,0.143
0.891,0.143,0.143,0.143
0.898,0.143,0.143,0.143
0.906,0.143,0.143,0.143
0.914,0.143,0.143,0.143
0.922,0.143,0.143,0.143
0.930,0.143,0.143,0.143
0.938,0.143,0.143,0.143
0.945,0.143,0.143,0.143
0.953,0.143,0.143,0.143
0.961,0.143,0.143,0.143
0.969,0.143,0.143,0.143
0.977,0.143,0.143,0.143
0.984,0.143,0.143,0.143
0.992,0.143,0.143,0.143
1.000,-0.229,-0.229,-0.229
1.008,-0.086,-0.086,-0.086
1.016,0.000,0.000,0.000
1.023,0.000,0.000,0.000
1.031,0.000,0.000,0.000
1.039,0.000,0.000,0.000
1.047,0.000,0.000,0.000
1.055,0.000,0.000,0.000
1.062,0.000,0.000,0.000
1.070,0.000,0.000,0.000
1.078,0.000,0.000,0.000
1.086,0.000,0.000,0.000
1.094,0.000,0.000,0.000
1.102,0.000,0.000,0.000
1.109,0.000,0.000,0.000
1.117,0.000,0.000,0.000
1.125,0.000,0.000,0.000
1.133,0.000,0.000,0.000
1.141,0.000,0.000,0.000
1.148,0.000,0.000,0.000
1.156,0.000,0.000,0.000
1.164,0.000,0.000,0.000
1.172,0.000,0.000,0.000
1.180,0.000,0.000,0.000
1.188,0.000,0.000,0.000
1.195,0.000,0.000,0.000
1.203,0.000,0.000,0.000
1.211,0.000,0.000,0.000
1.219,0.000,0.000,0.000
1.227,0.000,0.000,0.000
1.234,0.000,0.000,0.000
1.242,0.000,0.000,0.000
1.250,0.000,0.000,0.000
1.258,0.000,0.000,0.000
1.266,0.000,0.000,0.000
1.273,0.000,0.000,0.000
1.281,0.000,0.000,0.000
1.289,0.000,0.000,0.000
1.297,0.000,0.000,0.000
1.305,0.000,0.000,0.000
1.312,0.000,0.000,0.000
1.320,0.000,0.000,0.000
1.328,0.000,0.000,0.000
1.336,0.000,0.000,0.000
1.344,0.000,0.000,0.000
1.352,0.000,0.000,0.000
1.359,0.000,0.000,0.000
1.367,0.000,0.000,0.000
1.375,0.000,0.000,0.000
1.383,0.000,0.000,0.000
1.391,0.000,0.000,0.000
1.398,0.000,0.000,0.000
1.406,0.000,0.000,0.000
1.414,0.000,0.000,0.000
1.422,0.000,0.000,0.000
1.430,0.000,0.000,0.000
1.438,1.000,1.000,1.000
1.445,1.000,1.000,1.000
1.453,1.000,1.000,1.000
1.461,1.000,1.000,1.000
1.469,1.000,1.000,1.000
1.477,1.000,1.000,1.000
1.484,1.000,1.000,1.000
1.492,1.000,1.000,1.000
1.500,1.000,1.000,1.000
1.508,1.000,1.000,1.000
1.516,1.000,1.000,1.000
1.523,1.000,1.000,1.000
1.531,1.000,1.000,1.000
1.539,1.000,1.000,1.000
1.547,1.000,1.000,1.000
1.555,1.000,1.000,1.000
1.562,1.000,1.000,1.000
1.570,1.000,1.000,1.000
1.578,0.000,0.000,0.000
1.586,0.000,0.000,0.000
1.594,0.000,0.000,0.000
1.602,0.000,0.000,0.000
1.609,0.000,0.000,0.000
1.617,0.000,0.000,0.000
1.625,0.000,0.000,0.000
1.633,0.000,0.000,0.000
1.641,0.000,0.000,0.000
1.648,0.000,0.000,0.000
1.656,0.000,0.000,0.000
1.664,0.000,0.000,0.000
1.672,0.000,0.000,0.000
1.680,0.000,0.000,0.000
1.688,0.000,0.000,0.000
1.695,0.000,0.000,0.000
1.703,0.000,0.000,0.000
1.711,0.000,0.000,0.000
1.719,0.000,0.000,0.000
1.727,0.000,0.000,0.000
1.734,0.000,0.000,0.000
1.742,0.000,0.000,0.000
1.750,0.000,0.000,0.000
1.758,0.000,0.000,0.000
1.766,0.000,0.000,0.000
1.773,0.000,0.000,0.000
1.781,0.000,0.000,0.000
1.789,0.000,0.000,0.000
1.797,0.000,0.000,0.000
1.805,0.000,0.000,0.000
1.812,0.000,0.000,0.000
1.820,0.000,0.000,0.000
1.828,0.000,0.000,0.000
1.836,0.000,0.000,0.000
1.844,0.000,0.000,0.000
1.852,0.000,0.000,0.000
1.859,0.000,0.000,0.000
1.867,0.000,0.000,0.000
1.875,0.000,0.000,0.000
1.883,0.000,0.000,0.000
1.891,0.000,0.000,0.000
1.898,0.000,0.000,0.000
1.906,0.000,0.000,0.000
1.914,0.000,0.000,0.000
1.922,0.000,0.000,0.000
1.930,0.000,0.000,0.000
1.938,0.000,0.000,0.000
1.945,0.000,0.000,0.000
1.953,0.000,0.000,0.000
1.961,0.000,0.000,0.000
1.969,0.000,0.000,0.000
1.977,0.000,0.000,0.000
1.984,0.000,0.000,0.000
1.992,0.000,0.000,0.000
2.000,0.000,0.000,0.000
2.008,0.000,0.000,0.000
